id,scientificName,taxonRank,kingdom,family,vernacularName,individualCount,lifeStage,longitudeDecimal,latitudeDecimal,continent,country,locality,references,eventDate,year
177160129@OBS,Pandion haliaetus,species,Animalia,OSPREY_PANDIONIDAE,Western Osprey,1,unknown,-115.784221666667,51.0618533333333,North America,Canada,Mount Assiniboine Provincial Park,https://data.biodiversitydata.nl/obsint/observation/OBS.177160129,2019-07-15,2019
177160126@OBS,Gavia immer,species,Animalia,DIVERS_GAVIIDAE,Common Loon,1,unknown,-115.784196666667,51.0616733333333,North America,Canada,Mount Assiniboine Provincial Park,https://data.biodiversitydata.nl/obsint/observation/OBS.177160126,2019-07-15,2019
177160076@OBS,Urocitellus columbianus,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Columbian Ground Squirrel,1,unknown,-115.789341666667,51.0537516666667,North America,Canada,Mount Assiniboine Provincial Park,https://data.biodiversitydata.nl/obsint/observation/OBS.177160076,2019-07-15,2019
177159989@OBS,Cinclus mexicanus,species,Animalia,DIPPERS_CINCLIDAE,American Dipper,1,unknown,-115.79319,51.05847,North America,Canada,Mount Assiniboine Provincial Park,https://data.biodiversitydata.nl/obsint/observation/OBS.177159989,2019-07-15,2019
177159950@OBS,Zonotrichia leucophrys,species,Animalia,PASSERELLIDAE,White-crowned Sparrow,1,unknown,-115.790273333333,51.0596183333333,North America,Canada,Mount Assiniboine Provincial Park,https://data.biodiversitydata.nl/obsint/observation/OBS.177159950,2019-07-15,2019
177159941@OBS,Polystichum lonchitis,species,Plantae,DRYOPTERIDACEAE,Holly Fern,1,unknown,-115.784538333333,51.06168,North America,Canada,Mount Assiniboine Provincial Park,https://data.biodiversitydata.nl/obsint/observation/OBS.177159941,2019-07-15,2019
177158880@OBS,Gavia stellata,species,Animalia,DIVERS_GAVIIDAE,Red-throated Diver,1,unknown,-127.171941496445,50.6131443487337,North America,Canada,Vancouver Island,https://data.biodiversitydata.nl/obsint/observation/OBS.177158880,2019-07-26,2019
177158825@OBS,Larus canus,species,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Mew Gull,2,unknown,-126.782864235307,52.3722872717194,North America,Canada,British Columbia (BC),https://data.biodiversitydata.nl/obsint/observation/OBS.177158825,2019-07-29,2019
177157304@OBS,Marmota caligata,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Hoary Marmot,1,unknown,-122.93983414069,50.0649301119493,North America,Canada,Vancouver,https://data.biodiversitydata.nl/obsint/observation/OBS.177157304,2019-07-29,2019
177156392@OBS,Urocitellus columbianus,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Columbian Ground Squirrel,1,unknown,-115.78148,51.0641516666667,North America,Canada,Mount Assiniboine Provincial Park,https://data.biodiversitydata.nl/obsint/observation/OBS.177156392,2019-07-15,2019
177156380@OBS,Actitis macularius,species,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Spotted Sandpiper,1,unknown,-115.781481666667,51.06415,North America,Canada,Mount Assiniboine Provincial Park,https://data.biodiversitydata.nl/obsint/observation/OBS.177156380,2019-07-15,2019
177156292@OBS,Urocitellus columbianus,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Columbian Ground Squirrel,1,unknown,-115.779895,51.068925,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177156292,2019-07-15,2019
177156231@OBS,Urocitellus columbianus,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Columbian Ground Squirrel,1,unknown,-115.779785,51.0723933333333,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177156231,2019-07-15,2019
177156180@OBS,Neotamias minimus,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Least Chipmunk,1,unknown,-115.542395,51.182795,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177156180,2019-07-15,2019
177148875@OBS,Equisetum variegatum,species,Plantae,EQUISETACEAE,Variegated Horsetail,1,unknown,-116.465445,51.6779466666667,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177148875,2019-07-14,2019
177148420@OBS,Hirundo rustica,species,Animalia,SWALLOWS_HIRUNDINIDAE,Barn Swallow,1,unknown,-116.465821666667,51.678345,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177148420,2019-07-14,2019
177148399@OBS,Molothrus ater,species,Animalia,ICTERIDS_ICTERIDAE,Brown-headed Cowbird,1,unknown,-116.464393333333,51.6789966666667,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177148399,2019-07-14,2019
177148230@OBS,Spizella passerina,species,Animalia,PASSERELLIDAE,Chipping Sparrow,1,unknown,-116.505798333333,51.7173316666667,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177148230,2019-07-14,2019
177147671@OBS,Corvus corax,species,Animalia,CROWS_AND_JAYS_CORVIDAE,Northern Raven,1,unknown,-117.308465,52.2735833333333,North America,Canada,Jasper National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177147671,2019-07-14,2019
177147626@OBS,Alces alces,species,Animalia,DEER_CERVIDAE,Elk,2,unknown,-117.501095,52.47458,North America,Canada,Jasper National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177147626,2019-07-14,2019
177147457@OBS,Tamiasciurus hudsonicus,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,American Red Squirrel,1,unknown,-119.43927,52.976295,North America,Canada,British Columbia (BC),https://data.biodiversitydata.nl/obsint/observation/OBS.177147457,2019-07-14,2019
177132753@OBS,Piranga ludoviciana,species,Animalia,GROSBEAKS_SALTATORS_ALLIES_CARDINALIDAE,Western Tanager,1,unknown,-121.823686184475,52.3950103903677,North America,Canada,Williams Lake (BC),https://data.biodiversitydata.nl/obsint/observation/OBS.177132753,2019-07-29,2019
177132740@OBS,Ursus americanus,species,Animalia,BEARS_URSIDAE,American Black Bear,1,unknown,-122.524663657064,51.8557582190743,North America,Canada,Williams Lake (BC),https://data.biodiversitydata.nl/obsint/observation/OBS.177132740,2019-07-28,2019
177132727@OBS,Oxyura jamaicensis,species,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Ruddy Duck,6,unknown,-122.526964405666,51.8841644051037,North America,Canada,Williams Lake (BC),https://data.biodiversitydata.nl/obsint/observation/OBS.177132727,2019-07-28,2019
